#from vertex, to vertex, sense, max rise delay mean, max rise delay sigma, max fall delay mean, max fall delay sigma, min rise delay mean, min rise delay sigma, min fall delay mean, min fall delay sigma
EmInst_3010/EmInst_804/Y,EmInst_3010/EmInst_1630/EmInst_2839/A,pos_unate,0.000415,0,0.000415,0,0.000415,0,0.000415,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2761/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2825/A,pos_unate,0.000292,0,0.000292,0,0.000292,0,0.000292,0
EmInst_3013/EmInst_2712/EmInst_969/Y,EmInst_3013/EmInst_2712/EmInst_1002/B,pos_unate,0.001191,0,0.001191,0,0.001191,0,0.001191,0
EmInst_3013/EmInst_2712/EmInst_1070/Y,EmInst_3013/EmInst_2712/EmInst_1096/D,pos_unate,0.000927,0,0.000927,0,0.000927,0,0.000927,0
EmInst_3013/EmInst_2712/EmInst_999/Y,EmInst_3013/EmInst_2712/EmInst_1289/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_3013/EmInst_2712/EmInst_1070/Y,EmInst_3013/EmInst_2712/EmInst_1101/D,pos_unate,0.000927,0,0.000927,0,0.000927,0,0.000927,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1987/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2297/S0,pos_unate,0.001152,0,0.001152,0,0.001152,0,0.001152,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2797/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2797/Y,neg_unate,0.150781,0.0132751652050864,0.164957,0.0103396251281497,0.119688,0.0101336602602186,0.103101,0.0031091176371959
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2797/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2797/Y,pos_unate,0.150781,0.0132751652050864,0.164957,0.0103396251281497,0.119688,0.0101336602602186,0.103101,0.0031091176371959
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_1973/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2080/S0,pos_unate,0.000372,0,0.000372,0,0.000372,0,0.000372,0
EmInst_258/A0,EmInst_258/Y,neg_unate,0.324224,0.0356349333261619,0.162963,0.0163561196311657,0.324224,0.0206866391083606,0.162963,0.0136843192539015
EmInst_3013/EmInst_2712/EmInst_1248/Y,EmInst_3013/EmInst_2712/EmInst_1477/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_1093/Y,EmInst_3013/EmInst_2712/EmInst_1169/D,pos_unate,0.000857,0,0.000857,0,0.000857,0,0.000857,0
EmInst_3010/EmInst_874/Y,EmInst_3010/EmInst_890/A,pos_unate,0.003447,0,0.00344,0,0.003447,0,0.00344,0
EmInst_3013/EmInst_2712/EmInst_1058/Y,EmInst_3013/EmInst_2712/EmInst_1333/E,pos_unate,0.000872,0,0.000872,0,0.000872,0,0.000872,0
EmInst_492/B,EmInst_492/Y,neg_unate,0.127931,0.0169539376714036,0.126985,0.0123941852703141,0.127929,0.0117329077982235,0.126985,0.0115999800502923
EmInst_3013/EmInst_2712/EmInst_1032/Y,EmInst_3013/EmInst_2712/EmInst_1149/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_3013/EmInst_2712/EmInst_1127/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2275/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_3010/EmInst_802/Y,EmInst_3010/EmInst_843/A,pos_unate,5.2e-05,0,5.2e-05,0,5.2e-05,0,5.2e-05,0
EmInst_3013/EmInst_2712/EmInst_1368/Y,EmInst_3013/EmInst_2712/EmInst_1702/D,pos_unate,0.000902,0,0.000902,0,0.000902,0,0.000902,0
EmInst_3013/EmInst_2712/EmInst_954/Y,EmInst_3013/EmInst_2712/EmInst_968/B,pos_unate,0.001166,0,0.001166,0,0.001166,0,0.001166,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2176/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2373/B,pos_unate,0.000288,0,0.000288,0,0.000288,0,0.000288,0
EmInst_201/Y,EmInst_3013/EmInst_2712/EmInst_1755/CK,pos_unate,0.000965,0,0.000965,0,0.000965,0,0.000965,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2525/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2525/Y,neg_unate,0.154017,0.0135600713577427,0.168412,0.0105561870492428,0.119214,0.0100935279582055,0.105913,0.00319391641505252
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2525/S0,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2525/Y,pos_unate,0.154017,0.0135600713577427,0.168412,0.0105561870492428,0.119214,0.0100935279582055,0.105913,0.00319391641505252
EmInst_3013/EmInst_2712/EmInst_977/Y,EmInst_3013/EmInst_2712/EmInst_985/AN,pos_unate,0.000221,0,0.000221,0,0.000221,0,0.000221,0
EmInst_3013/EmInst_2712/EmInst_1221/Y,EmInst_3013/EmInst_2712/EmInst_1312/D,pos_unate,0.000857,0,0.000857,0,0.000857,0,0.000857,0
EmInst_161/Y,EmInst_442/B0,pos_unate,0.002943,0,0.002941,0,0.002943,0,0.002941,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2083/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2533/A,pos_unate,0.000292,0,0.000292,0,0.000292,0,0.000292,0
EmInst_3014/EmInst_1852/S0,EmInst_3014/EmInst_1852/Y,neg_unate,0.116015,0.00850420806037369,0.139978,0.0195450105621194,0.074854,0.00305941811026584,0.061991,0.00405235413798569
EmInst_3014/EmInst_1852/S0,EmInst_3014/EmInst_1852/Y,pos_unate,0.116015,0.00850420806037369,0.139978,0.0195450105621194,0.074854,0.00305941811026584,0.061991,0.00405235413798569
EmInst_207/Y,EmInst_3013/EmInst_2712/EmInst_1701/CK,pos_unate,0.000965,0,0.000965,0,0.000965,0,0.000965,0
EmInst_3013/EmInst_2712/EmInst_1030/Y,EmInst_3013/EmInst_2712/EmInst_1748/E,pos_unate,0.000872,0,0.000872,0,0.000872,0,0.000872,0
EmInst_2994/QN,EmInst_4/A,pos_unate,6.7e-05,0,6.7e-05,0,6.7e-05,0,6.7e-05,0
EmInst_3010/EmInst_1617/A,EmInst_3010/EmInst_1617/Y,pos_unate,0.101335,0.016124445995158,0.09596,0.0084621052253349,0.101335,0.00671603090469039,0.09596,0.0038810372504336
EmInst_3013/EmInst_2712/EmInst_1029/Y,EmInst_3013/EmInst_2712/EmInst_1046/B,pos_unate,0.00129,0,0.00129,0,0.00129,0,0.00129,0
EmInst_142/Y,EmInst_533/S0,pos_unate,6.1e-05,0,6.1e-05,0,6.1e-05,0,6.1e-05,0
EmInst_760/CK,EmInst_760/Q,rising_edge,0.301464,0.0102874594697412,0.232361,0.0260864448175997,0.301229,0.00405093011901008,0.232127,0.00423032767576396
EmInst_3014/EmInst_1825/B0,EmInst_3014/EmInst_1825/Y,neg_unate,0.193786,0.0142435933816338,0.09502,0.00249267019029694,0.193786,0.00877010204624841,0.094983,0.00135018624462203
EmInst_3007/QN,EmInst_129/A,pos_unate,0.000225,0,0.000225,0,0.000225,0,0.000225,0
EmInst_3013/EmInst_2712/EmInst_1013/Y,EmInst_3013/EmInst_2712/EmInst_1420/E,pos_unate,0.000877,0,0.000877,0,0.000877,0,0.000877,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2038/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2138/S0,pos_unate,0.001152,0,0.001152,0,0.001152,0,0.001152,0
EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2035/Y,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2726/S0,pos_unate,0.001203,0,0.001203,0,0.001203,0,0.001203,0
EmInst_3014/EmInst_1834/Y,EmInst_3014/EmInst_1873/B,pos_unate,0.000107,0,0.000107,0,0.000107,0,0.000107,0
EmInst_3013/EmInst_2712/EmInst_1084/Q,EmInst_3013/EmInst_2712/EmInst_2656/EmInst_2007/A,pos_unate,0.000227,0,0.000227,0,0.000227,0,0.000227,0
