#from vertex, to vertex, sense, rise constraint, fall constaint
EmInst_3013/EmInst_2712/EmInst_1084/CK,EmInst_3013/EmInst_2712/EmInst_1084/D,setup_rising,0.250627,0.201861
EmInst_3013/EmInst_2712/EmInst_1666/CK,EmInst_3013/EmInst_2712/EmInst_1666/E,setup_rising,0.278041,0.396325
EmInst_3013/EmInst_2712/EmInst_1134/CK,EmInst_3013/EmInst_2712/EmInst_1134/E,setup_rising,0.185416,0.303841
EmInst_3013/EmInst_2712/EmInst_1433/CK,EmInst_3013/EmInst_2712/EmInst_1433/D,setup_rising,0.139554,0.09939
EmInst_3013/EmInst_2712/EmInst_1440/CK,EmInst_3013/EmInst_2712/EmInst_1440/D,setup_rising,0.137193,0.093918
EmInst_2963/CK,EmInst_2963/E,setup_rising,0.242773,0.334026
EmInst_3013/EmInst_2712/EmInst_1148/CK,EmInst_3013/EmInst_2712/EmInst_1148/E,setup_rising,0.180601,0.301508
EmInst_3013/EmInst_2712/EmInst_1191/CK,EmInst_3013/EmInst_2712/EmInst_1191/E,setup_rising,0.187028,0.308436
EmInst_3013/EmInst_2712/EmInst_1477/CK,EmInst_3013/EmInst_2712/EmInst_1477/D,setup_rising,0.141462,0.105694
EmInst_307/CK,EmInst_307/E,setup_rising,0.189534,0.321616
EmInst_689/CK,EmInst_689/D,setup_rising,0.098933,0.073024
EmInst_3013/EmInst_2712/EmInst_1407/CK,EmInst_3013/EmInst_2712/EmInst_1407/E,setup_rising,0.185824,0.296516
EmInst_3013/EmInst_2712/EmInst_1402/CK,EmInst_3013/EmInst_2712/EmInst_1402/D,setup_rising,0.142997,0.107468
EmInst_3013/EmInst_2712/EmInst_1519/CK,EmInst_3013/EmInst_2712/EmInst_1519/E,setup_rising,0.321331,0.426016
EmInst_3013/EmInst_2712/EmInst_1276/CK,EmInst_3013/EmInst_2712/EmInst_1276/D,setup_rising,0.280748,0.258132
EmInst_3013/EmInst_2712/EmInst_1096/CK,EmInst_3013/EmInst_2712/EmInst_1096/D,setup_rising,0.248836,0.197681
EmInst_688/CK,EmInst_688/D,setup_rising,0.187851,0.166191
EmInst_3013/EmInst_2712/EmInst_1268/CK,EmInst_3013/EmInst_2712/EmInst_1268/D,setup_rising,0.25203,0.206558
EmInst_3013/EmInst_2712/EmInst_1413/CK,EmInst_3013/EmInst_2712/EmInst_1413/E,setup_rising,0.178315,0.300392
EmInst_3013/EmInst_2712/EmInst_1082/CK,EmInst_3013/EmInst_2712/EmInst_1082/D,setup_rising,0.252769,0.206858
EmInst_3013/EmInst_2712/EmInst_1453/CK,EmInst_3013/EmInst_2712/EmInst_1453/E,setup_rising,0.186926,0.290806
EmInst_3013/EmInst_2712/EmInst_2655/CK,EmInst_3013/EmInst_2712/EmInst_2655/D,setup_rising,0.107983,0.086239
EmInst_3013/EmInst_2712/EmInst_1208/CK,EmInst_3013/EmInst_2712/EmInst_1208/D,setup_rising,0.250559,0.201547
EmInst_3013/EmInst_2712/EmInst_1479/CK,EmInst_3013/EmInst_2712/EmInst_1479/D,setup_rising,0.1356,0.092878
EmInst_3013/EmInst_2712/EmInst_1783/CK,EmInst_3013/EmInst_2712/EmInst_1783/E,setup_rising,0.18878,0.305303
EmInst_3013/EmInst_2712/EmInst_1390/CK,EmInst_3013/EmInst_2712/EmInst_1390/D,setup_rising,0.105543,0.087031
EmInst_3013/EmInst_2712/EmInst_1709/CK,EmInst_3013/EmInst_2712/EmInst_1709/E,setup_rising,0.189066,0.288584
EmInst_3013/EmInst_2712/EmInst_1125/CK,EmInst_3013/EmInst_2712/EmInst_1125/D,setup_rising,0.250627,0.201861
EmInst_3013/EmInst_2712/EmInst_1719/CK,EmInst_3013/EmInst_2712/EmInst_1719/D,setup_rising,0.141867,0.104801
EmInst_2976/CK,EmInst_2976/D,setup_rising,0.099936,0.102237
EmInst_3013/EmInst_2712/EmInst_1743/CK,EmInst_3013/EmInst_2712/EmInst_1743/D,setup_rising,0.141474,0.109031
EmInst_3013/EmInst_2712/EmInst_1513/CK,EmInst_3013/EmInst_2712/EmInst_1513/E,setup_rising,0.187107,0.296261
